,Number
"Biological, mathematical & physical sciences",167
Engineering & technology,81
"Medicine, dentistry & health",57
Social studies,44
Humanities & language based studies & archaeology,38
Administrative & business studies,8
"Agriculture, forestry & veterinary science",7
Education,7
Architecture & planning,6
"Design, creative & performing arts",2
