,Number
Bristol,46
Birmingham,22
Cambridge,28
Cardiff,20
Edinburgh,16
Glasgow,24
Imperial,52
Leeds,32
Liverpool,25
Newcastle,15
Nottingham,24
QUB,21
Queen Mary,35
Sheffield,23
UCL,22
n/a,12
