,Number
Lecturer,95
PhD,75
Postdoc,15
Principal Investigator,2
Prof,48
Reader,19
Research Assistant,14
Research Associate,51
Research Fellow,49
Manager,2
Researcher,7
Technician,3
Not provided,8
Other,29
