Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: all data 1,Question 11: all data 2,Question 11: all data 3,Question 11: all data 4,Question 11: all data 5,Question 11: all data 6,Question 11: all data 7,Question 11: all data 8,Question 11: all data 9,Question 11: all data 10,Question 11: all data 11,Question 11: all data 12,Question 11: all data 13,Question 11: all data 14,Question 11: all data 15,Question 11: all data 16,Question 11: all data 17,Question 11: all data 18,Question 11: all data 19,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
138,10/17/2014 15:11:03,university of nottingham,I conduct research, I support researchers, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Fixed term,Linux,False
139,10/17/2014 15:14:38,university of nottingham,I conduct research,,,,,"Agriculture, forestry & veterinary science",mixed funding,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,spss, mlwin,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
140,10/17/2014 15:17:15,imperial college london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,industry,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,"No, but we expected to develop software as part of the project",,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Permanent,Linux,True
141,10/17/2014 15:44:43,university of glasgow,I conduct research, I develop software for researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,postdoctoral researcher,Male,Fixed term,Mac OS X,False
142,10/17/2014 15:53:32,university of birmingham,I conduct research, I manage researchers or research projects,Other,,,"Biological, mathematical & physical sciences",esrc - economic and social research council,11-15 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",Yes,spss,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,reader,Female,Permanent,Microsoft Windows,True
143,10/17/2014 16:10:55,university of sheffield,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,1-5 years,No,It would make no significant difference to my work,No,No,No,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Male,Fixed term,Microsoft Windows,False
144,10/17/2014 16:29:20,queen's university belfast,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",nihr,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,microsoft office,spss, stata,matlab,r, prism,,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Female,Permanent,Mac OS X,True
145,10/17/2014 16:47:58,university of glasgow,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,oxygen,xml,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Female,Permanent,Microsoft Windows,True
146,10/17/2014 17:06:48,university of birmingham,I conduct research, I manage researchers or research projects,,,,Social studies,epsrc - engineering and physical sciences research council,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,nvivo,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,lecturer,Female,Permanent,Microsoft Windows,True
147,10/17/2014 17:22:38,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",nihr,More than 20 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,spss, bristol online survey, microsoft excel,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,blank_response,professor,Male,Permanent,Microsoft Windows,True
