Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Question 11: all data,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
1,8/20/2014 15:33:45,ucl,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"VEDA-FE,VEDA-BE,ANSWER,GAMS,Excel",veda-fe,postdoctoral researcher,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,,veda-be,,,,,
,,,,,,,,,,,,,,,,, answer,,,,,
,,,,,,,,,,,,,,,,, gams,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
3,8/20/2014 15:46:23,university of cardiff,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,Other,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Excel, R, Image J, IrfanView, Bowtie, Integrated Genome Browser, Java Tree View, SAM Tools, Cluster 3,  DiProBase, UCSF Chimera, MEME, custom Perl/Shell/Python scripts", microsoft excel,lecturer,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,, irfanview,,,,,
,,,,,,,,,,,,,,,,, bowtie,,,,,
,,,,,,,,,,,,,,,,,integrated genomics viewer,,,,,
,,,,,,,,,,,,,,,,, java tree view,,,,,
,,,,,,,,,,,,,,,,, samtools,,,,,
,,,,,,,,,,,,,,,,, cluster 3,,,,,
,,,,,,,,,,,,,,,,,  diprobase,,,,,
,,,,,,,,,,,,,,,,, ucsf chimera,,,,,
,,,,,,,,,,,,,,,,, meme,,,,,
,,,,,,,,,,,,,,,,,perl,,,,,
4,8/20/2014 15:47:48,university of cambridge,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,Less than a year,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,Atlas.ti,atlas.ti,,Female,Permanent,Microsoft Windows,True
5,8/20/2014 16:05:30,university of newcastle,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,R,r,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
6,8/20/2014 19:01:08,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,No,"My work would require more effort, but it would still be possible",Yes,No,I'm not involved in bid writing,,,professor,Male,Fixed term,Other,False
8,8/21/2014 10:14:10,university of cambridge,I conduct research, I develop software for researchers,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"libAtoms/QUIP , CASTEP , molpro",libatoms,phd student,Male,Prefer not to say,Mac OS X,True
,,,,,,,,,,,,,,,,, castep,,,,,
,,,,,,,,,,,,,,,,, molpro,,,,,
