Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Question 11: all data,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
9,8/21/2014 10:16:32,university of cambridge,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"Materials Studio, , home-made software: Music , Raspa, for GCMC simulations",materials studio,postdoctoral researcher,Male,Fixed term,Other,True
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, raspa,,,,,
,,,,,,,,,,,,,,,,, for gcmc simulations,,,,,
10,8/21/2014 10:19:28,university of edinburgh,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",mrc - medical research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Mainly online resources for the analysis of DNA/RNA sequences, protein structural analysis, search engines, RNA folding predictions, statistic packages etc",,professor,Female,Permanent,Don't have a preference,True
,,,,,,,,,,,,,,,,, protein structural analysis,,,,,
,,,,,,,,,,,,,,,,, search engines,,,,,
,,,,,,,,,,,,,,,,, rna folding predictions,,,,,
,,,,,,,,,,,,,,,,,,,,,,
11,8/21/2014 10:20:14,university of newcastle,I conduct research, I manage researchers or research projects,,,,Engineering & technology,don't know,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"HyperMesh, LS Dyna, MS based",hypermesh,researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, ls dyna,,,,,
,,,,,,,,,,,,,,,,,,,,,,
12,8/21/2014 10:22:31,ucl,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab,Mathematica,xmgrace",matlab,research fellow,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, mathematica,,,,,
,,,,,,,,,,,,,,,,, xmgrace,,,,,
13,8/21/2014 10:26:28,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,"GraphPad Prism, Serial Cloner, Mathematica",graphpad prism,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, serial cloner,,,,,
,,,,,,,,,,,,,,,,, mathematica,,,,,
14,8/21/2014 10:35:31,university of newcastle,I conduct research, I support researchers, I manage researchers or research projects,Other,,Engineering & technology,don't know,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,"MS Words, MS Excel, MS Power Point, MS Outlook, Google search engine, Adobe acrobat, SPSS, Mendeley,  ",microsoft word,postdoctoral researcher,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, microsoft powerpoint,,,,,
,,,,,,,,,,,,,,,,,microsoft outlook,,,,,
,,,,,,,,,,,,,,,,,google,,,,,
,,,,,,,,,,,,,,,,, adobe acrobat,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, mendeley,,,,,
,,,,,,,,,,,,,,,,,,,,,,
15,8/21/2014 10:35:52,university of cambridge,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"LabView, Matlab, Origin, CryoMeas ",labview,professor,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, origin,,,,,
,,,,,,,,,,,,,,,,, cryomeas ,,,,,
16,8/21/2014 10:42:05,university of cardiff,I conduct research, I develop software for researchers,,,,"Medicine, dentistry & health",don't know,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Illumina GenomeStudio,PLINK,R,IMPUTE2",illumina genomestudio,other,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, plink,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,,impute2,,,,,
17,8/21/2014 10:42:19,university of edinburgh,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,11-15 years,No,It would make no significant difference to my work,No,No,No,,,lecturer,Male,Permanent,Mac OS X,False
18,8/21/2014 10:54:24,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"R, Galaxy, Plink, Plink-Seq, IGV, Sam tools, GATK, Haploview",r,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, galaxy,,,,,
,,,,,,,,,,,,,,,,, plink,,,,,
,,,,,,,,,,,,,,,,, plink-seq,,,,,
,,,,,,,,,,,,,,,,, igv,,,,,
,,,,,,,,,,,,,,,,, samtools,,,,,
,,,,,,,,,,,,,,,,, gatk,,,,,
,,,,,,,,,,,,,,,,, haploview,,,,,
19,8/21/2014 10:56:48,university of cardiff,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Nvivo, SPSS",nvivo,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,spss,,,,,
20,8/21/2014 10:57:38,university of newcastle,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Stata, StatTransfer, sometimes SAS or R", stata,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, stattransfer,,,,,
,,,,,,,,,,,,,,,,,sas,,,,,
21,8/21/2014 11:14:46,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Mathematica, R,", mathematica,professor,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,,,,,,,
22,8/21/2014 13:25:15,ucl,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"DMACRYS, CrystalPredictor, CrystalOptimizer, GAUSSIAN, MOLPAK, GDMA, Cambridge Crystallographic Data Centre programs, CASTEP, CamCASP, GULP, Marvin",dmacrys,professor,Female,Permanent,Linux,True
,,,,,,,,,,,,,,,,, crystalpredictor,,,,,
,,,,,,,,,,,,,,,,, crystaloptimizer,,,,,
,,,,,,,,,,,,,,,,, gaussian,,,,,
,,,,,,,,,,,,,,,,, molpak,,,,,
,,,,,,,,,,,,,,,,, gdma,,,,,
,,,,,,,,,,,,,,,,, cambridge crystallographic data centre programs,,,,,
,,,,,,,,,,,,,,,,, castep,,,,,
,,,,,,,,,,,,,,,,, camcasp,,,,,
,,,,,,,,,,,,,,,,, gulp,,,,,
,,,,,,,,,,,,,,,,, marvin,,,,,
23,8/21/2014 13:40:40,university of edinburgh,I conduct research, I support researchers,,,,Humanities & language based studies & archaeology,don't know,More than 20 years,No,It would make no significant difference to my work,No,Yes - self taught using online resources or books,No,,,reader,Male,Permanent,Microsoft Windows,False
24,8/21/2014 13:48:35,university of newcastle,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",No,"SPSS, R, LabView",spss,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,,labview,,,,,
26,8/21/2014 14:02:03,ucl,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"Matlab,Plastimatch,Many others",matlab,phd student,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,,plastimatch,,,,,
,,,,,,,,,,,,,,,,,many others,,,,,
27,8/21/2014 14:08:36,ucl,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","Python, Python , GDAL, Shell scripts, Fortran, C", python,postdoctoral researcher,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,, gdal,,,,,
,,,,,,,,,,,,,,,,, shell scripts,,,,,
,,,,,,,,,,,,,,,,, fortran,,,,,
,,,,,,,,,,,,,,,,, c,,,,,
28,8/21/2014 14:13:43,university of cambridge,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Igor Pro, Labview",igor pro,phd student,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,labview,,,,,
29,8/21/2014 14:35:48,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Genstat, RStudio, Minitab, MatLab, GIMP, Zotero, Endnote, SAP2011, FileZilla, GNUPlot, QtiPlot, SPSS, Spike2", genstat,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, rstudio,,,,,
,,,,,,,,,,,,,,,,, minitab,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, gimp,,,,,
,,,,,,,,,,,,,,,,, zotero,,,,,
,,,,,,,,,,,,,,,,, endnote,,,,,
,,,,,,,,,,,,,,,,, sap2011,,,,,
,,,,,,,,,,,,,,,,, filezilla,,,,,
,,,,,,,,,,,,,,,,, gnuplot,,,,,
,,,,,,,,,,,,,,,,, qtiplot,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, spike2,,,,,
30,8/21/2014 15:15:36,ucl,I conduct research,,,,,Social studies,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"Stata,R", stata,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,r,,,,,
31,8/21/2014 16:21:28,ucl,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",don't know,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","matlab, python, graphlab,",matlab,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,, graphlab,,,,,
,,,,,,,,,,,,,,,,,,,,,,
32,8/21/2014 17:42:15,university of cambridge,I conduct research,,,,,Administrative & business studies,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,"Bloomberg, Datastream, Factiva",bloomberg,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, datastream,,,,,
,,,,,,,,,,,,,,,,, factiva,,,,,
33,8/21/2014 17:58:22,university of cambridge,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",mrc - medical research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"FlowJo, EnzymeX, Primer3, ApE, BLAST, ImageJ.",flowjo,phd student,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, enzymex,,,,,
,,,,,,,,,,,,,,,,, primer,,,,,
,,,,,,,,,,,,,,,,, ape,,,,,
,,,,,,,,,,,,,,,,, blast,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
34,8/22/2014 0:00:40,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"MPlus,Superlab ,SPSS,Excel", mplus,postdoctoral researcher,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,superlab ,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
35,8/22/2014 10:12:31,university of cardiff,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS,NVivo",spss,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,nvivo,,,,,
36,8/22/2014 10:16:12,ucl,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",mrc - medical research council,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"GraphPad Prism, Adobe Illustrator, WinList, Rotorgene 6, Microsoft Excel, ApE, FACS Diva, Adobe Photoshop, Rest2009",graphpad prism,postdoctoral researcher,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, adobe illustrator,,,,,
,,,,,,,,,,,,,,,,, winlist,,,,,
,,,,,,,,,,,,,,,,, rotorgene 6,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, ape,,,,,
,,,,,,,,,,,,,,,,, facs diva,,,,,
,,,,,,,,,,,,,,,,, adobe photoshop,,,,,
,,,,,,,,,,,,,,,,, rest2009,,,,,
37,8/22/2014 10:17:05,university of edinburgh,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"R, locally designed video coding software, CLAN, ELAN",r,postdoctoral researcher,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, clan,,,,,
,,,,,,,,,,,,,,,,, elan,,,,,
38,8/22/2014 10:17:57,university of cambridge,I conduct research, I support researchers, I develop software for researchers,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"r, spss, xl, SPM, matlab",r,lecturer,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, spm,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
39,8/22/2014 10:18:00,university of cardiff,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab, IDL, LabView",matlab,professor,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, idl,,,,,
,,,,,,,,,,,,,,,,,labview,,,,,
40,8/22/2014 10:31:38,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Graphpad Prism, Genespring, Photoshop, Endnote, ",graphpad prism,postdoctoral researcher,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, genespring,,,,,
,,,,,,,,,,,,,,,,, photoshop,,,,,
,,,,,,,,,,,,,,,,, endnote,,,,,
,,,,,,,,,,,,,,,,,,,,,,
41,8/22/2014 10:49:11,university of cambridge,I conduct research,Other,,,,"Medicine, dentistry & health",university central funds,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"ImageJ, Osirix , various PACS systems, custom code in MATLAB", imagej,lecturer,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, osirix ,,,,,
,,,,,,,,,,,,,,,,,pacs systems,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
42,8/22/2014 10:49:26,university of cambridge,I conduct research,,,,,Engineering & technology,don't know,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Matlab, Python, Ocaml, shell scripts",matlab,phd student,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,, ocaml,,,,,
,,,,,,,,,,,,,,,,, shell scripts,,,,,
43,8/22/2014 10:58:52,university of cardiff,I conduct research,,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Antconc, excel, r, Bristol online survey",antconc,lecturer,Female,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, bristol online survey,,,,,
44,8/22/2014 11:04:27,university of cambridge,I conduct research,,,,,Engineering & technology,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Tecplot, Paraview, Ansys,Write codes in Fortran , Matlab,",tecplot,phd student,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, paraview,,,,,
,,,,,,,,,,,,,,,,, ansys,,,,,
,,,,,,,,,,,,,,,,,fortran ,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,,,,,,
45,8/22/2014 11:16:09,university of newcastle,I support researchers,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"GNSS processing,Image Analysis,LIDAR,IR,Thermal",gnss processing,technician,Male,Permanent,Don't have a preference,True
,,,,,,,,,,,,,,,,,image analysis,,,,,
,,,,,,,,,,,,,,,,,lidar,,,,,
,,,,,,,,,,,,,,,,,ir,,,,,
,,,,,,,,,,,,,,,,,thermal,,,,,
46,8/22/2014 12:15:47,university of cambridge,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",wellcome trust,11-15 years,Yes,It would not be practical to conduct my work without software,No,"Yes - self taught using online resources or books, No",No,"CCP4, Phenix, Diamond Light Source control software, COOT, PyMol, Prism",ccp4,principal investigator,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, phenix,,,,,
,,,,,,,,,,,,,,,,, diamond light source control software,,,,,
,,,,,,,,,,,,,,,,, coot,,,,,
,,,,,,,,,,,,,,,,, pymol,,,,,
,,,,,,,,,,,,,,,,, prism,,,,,
47,8/22/2014 12:24:39,university of cardiff,I conduct research,,,,,"Biological, mathematical & physical sciences",wellcome trust,Less than a year,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,I'm not involved in bid writing,"BEAST, BAPS, RAxML, FastTree, BLAST, Artemis, Dendroscope, Path-O-Gen, R, Velvet, SMALT, SAMtools, MUSCLE",beast,postdoctoral researcher,Female,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, baps,,,,,
,,,,,,,,,,,,,,,,, raxml,,,,,
,,,,,,,,,,,,,,,,, fasttree,,,,,
,,,,,,,,,,,,,,,,, blast,,,,,
,,,,,,,,,,,,,,,,, artemis,,,,,
,,,,,,,,,,,,,,,,, dendroscope,,,,,
,,,,,,,,,,,,,,,,, path-o-gen,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, velvet,,,,,
,,,,,,,,,,,,,,,,, smalt,,,,,
,,,,,,,,,,,,,,,,, samtools,,,,,
,,,,,,,,,,,,,,,,, muscle,,,,,
48,8/22/2014 12:39:57,university of newcastle,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",esrc - economic and social research council,11-15 years,Yes,It would make no significant difference to my work,No,No,No,"NVivo, Cmap",nvivo,lecturer,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, cmap,,,,,
49,8/22/2014 13:01:29,university of edinburgh,I support researchers,,,,,Education,esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"NVivo, SPSS, SNAP",nvivo,other,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, snap,,,,,
50,8/22/2014 13:02:57,university of edinburgh,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,"matlab, omero, imageJ, prism",matlab,other,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, omero,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,, prism,,,,,
51,8/22/2014 13:22:19,university of cambridge,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"ONETEP, CASTEP",onetep,research fellow,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,, castep,,,,,
52,8/22/2014 13:30:56,university of newcastle,I conduct research, I support researchers, I develop software for researchers,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Matlab, SPSS, Excel",matlab,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
53,8/22/2014 13:32:56,university of edinburgh,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",university central funds,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SAS, Excel, NQuery, Minitab",sas,reader,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, nquery,,,,,
,,,,,,,,,,,,,,,,, minitab,,,,,
55,8/22/2014 13:44:48,university of edinburgh,I conduct research,,,,,Education,don't know,15-20 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"NVivo, ",nvivo,professor,Male,Prefer not to say,Mac OS X,True
,,,,,,,,,,,,,,,,,,,,,,
56,8/22/2014 13:46:46,ucl,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",wellcome trust,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, MatLab, Eprime",spss,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, eprime,,,,,
57,8/22/2014 14:06:04,university of cardiff,I conduct research,,,,,Social studies,"other foundation, society or charity",6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - a taught course,No,"Endnote, NVivo, SPSS, R .", endnote,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,nvivo,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
58,8/22/2014 14:38:02,university of cardiff,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences","other foundation, society or charity",More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,"Origin, Matlab, SigmaPlot, PyMol, Discovery Studio Visualizer", origin,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,matlab,,,,,
