question,av_percent_difference
Question 1,0.3
Question 2,0.8
Question 3,0.3
Question 4,0.8
Question 5,0.2
Question 6,0.0
Question 7,0.0
Question 8,0.0
Question 9,12.0
Question 10,0.8
Question 11,0.0
Extra question 1,1.5
Extra question 2,0.5
Extra question 3,0.7
Extra question 4,0.0
