question,new_analysis,old_analysis,percentage_diff
Question 1,391,417,94.0
Question 2,687,719,96.0
Question 3,391,417,94.0
Question 4,391,417,94.0
Question 5,391,417,94.0
Question 6,391,417,94.0
Question 6,391,417,94.0
Question 7,391,417,94.0
Question 8,391,417,94.0
Question 9,391,417,94.0
Question 10,391,417,94.0
Question 11,1328,1214,109.0
Extra question 1,383,417,92.0
Extra question 2,388,417,93.0
Extra question 3,382,417,92.0
Extra question 4,388,417,93.0
