unnamed: 0,new_analysis,old_analysis,new_analysis_percentage,old_analysis_percentage,new_minus_old_percentage
postdoctoral researcher,93.0,80,24.0,19.0,5.0
lecturer,93.0,95,24.0,23.0,1.0
phd student,72.0,75,19.0,18.0,1.0
professor,47.0,48,12.0,12.0,0.0
research fellow,31.0,49,8.0,12.0,-4.0
other,20.0,29,5.0,7.0,-2.0
reader,16.0,19,4.0,5.0,-1.0
researcher,4.0,7,1.0,2.0,-1.0
technician,3.0,3,1.0,1.0,0.0
principal investigator,2.0,2,1.0,0.0,1.0
manager,2.0,2,1.0,0.0,1.0
not provided,,8,,2.0,
