,Unnamed: 0,Question 9: Have you received any training in software development,Number
0,No,179.0,188.0
1,Yes - self taught using online resources or books,98.0,
2,"Yes - a taught course, Yes - self taught using online resources or books",61.0,
3,Yes - a taught course,52.0,
4,"Yes - self taught using online resources or books, No",1.0,
5,Yes,,229.0
