,Extra question 1: What is your job title,percentage
lecturer,93,24.0
postdoctoral researcher,93,24.0
phd student,72,19.0
professor,47,12.0
research fellow,31,8.0
other,20,5.0
reader,16,4.0
researcher,4,1.0
technician,3,1.0
manager,2,1.0
principal investigator,2,1.0
