,Question 9: Have you received any training in software development,percentage
No,179,46.0
Yes - self taught using online resources or books,98,25.0
"Yes - a taught course, Yes - self taught using online resources or books",61,16.0
Yes - a taught course,52,13.0
"Yes - self taught using online resources or books, No",1,0.0
